Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,Junior Men,BATASHEV Oleksii,44,66,-,,,
2025,World Championships,Junior Men,BOIVIN Anton,45,-,49,,,
2025,World Championships,Junior Men,DAUNORAS Kornelijus,46,49,36,,,
2025,World Championships,Junior Men,BILLAUT Sevan,47,17,28,,,
2025,World Championships,Junior Men,TSENG Hsin-Kuang,48,-,-,,,
2025,World Championships,Junior Men,BERTHELOT Joachim,49,34,42,,,
2025,World Championships,Junior Men,PATELIS Nikolaos,50,-,-,,,
2025,World Championships,Junior Men,NOR George,51,-,63,,,
2025,World Championships,Junior Men,ONGCHIT Nantipat,52,-,72,,,
2025,World Championships,Junior Men,POKSANS Dags,53,64,67,,,
2025,World Championships,Junior Men,AYSAN Talu,54,-,-,,,
2025,World Championships,Junior Men,MOSUNOVS Stanislavs,55,59,-,,,
2025,World Championships,Junior Men,PUCZEL Igor,-,-,34,,,
2025,World Championships,Junior Men,KOPECEK Michal,-,1,8,,,
2025,World Championships,Junior Men,ROMANO Daniele,-,4,-,,,
2025,World Championships,Junior Men,FOZ Didac,-,5,6,,,
2025,World Championships,Junior Men,SEIBERT Joseph,-,7,-,,,
2025,World Championships,Junior Men,WILLIAMS Gwion,-,8,7,,,
2025,World Championships,Junior Men,DAVY Clement,-,9,25,,,
2025,World Championships,Junior Men,LARYEA Nelian,-,10,-,,,
2025,World Championships,Junior Men,TILINGER Tadej,-,11,-,,,
2025,World Championships,Junior Men,MEDVID Artur,-,12,-,,,
2025,World Championships,Junior Men,PISTONI Nicola,-,13,26,,,
2025,World Championships,Junior Men,STEINBRENNER Max,-,14,64,,,
2025,World Championships,Junior Men,SMIESKO Michal,-,15,65,,,
2025,World Championships,Junior Men,SAITO Teppei,-,18,56,,,
2025,World Championships,Junior Men,PETIT Tao,-,19,18,,,
2025,World Championships,Junior Men,JABLONSKI Joachim,-,20,-,,,
2025,World Championships,Junior Men,CHU Hung-Yu,-,21,35,,,
2025,World Championships,Junior Men,REDLING Tim,-,22,-,,,
2025,World Championships,Junior Men,KULCZYCKI Marek,-,23,12,,,
2025,World Championships,Junior Men,CLOTET JUANMARTI Faust,-,28,3,,,
2025,World Championships,Junior Men,SKUBIK David,-,29,16,,,
2025,World Championships,Junior Men,VELIKONJA Tjas,-,30,-,,,
2025,World Championships,Junior Men,PARKER Jayden,-,31,14,,,
2025,World Championships,Junior Men,KIRBY Harry,-,32,10,,,
2025,World Championships,Junior Men,LEHNER Paul,-,35,15,,,
2025,World Championships,Junior Men,BELOT DE LA HUNAUDAYE Brando,-,36,32,,,
2025,World Championships,Junior Men,FROHLICH Jachym,-,37,-,,,
2025,World Championships,Junior Men,KRACHKO Arkhyp,-,38,17,,,
2025,World Championships,Junior Men,SAMPSON Joseph,-,39,46,,,
2025,World Championships,Junior Men,DUDA Filip,-,40,-,,,
2025,World Championships,Junior Men,MATVIIENKO Rostyslav,-,41,23,,,
2025,World Championships,Junior Men,PINHEIRO Afonso,-,43,31,,,
2025,World Championships,Junior Men,SHCHEHLOV Gordey,-,44,52,,,
2025,World Championships,Junior Men,LIMA Antonio,-,45,51,,,
2025,World Championships,Junior Men,LIGNE Adrian,-,46,48,,,
2025,World Championships,Junior Men,CHOULIARAS Alexandros,-,47,-,,,
2025,World Championships,Junior Men,HAAKENSON Connar,-,48,-,,,
2025,World Championships,Junior Men,AFRATIS-GEORGIOU Christos,-,50,-,,,
2025,World Championships,Junior Men,NIJHAWAN Nikhil,-,51,38,,,
2025,World Championships,Junior Men,THOMAS Dominic,-,52,21,,,
2025,World Championships,Junior Men,ROHRMEISTER Lukas,-,53,66,,,
2025,World Championships,Junior Men,AUZNIEKS Klavs,-,54,53,,,
2025,World Championships,Junior Men,POPIERA Rokas,-,55,60,,,
2025,World Championships,Junior Men,KODA Keisaku,-,56,24,,,
2025,World Championships,Junior Men,BASIAKOS Konstantinos,-,57,-,,,
2025,World Championships,Junior Men,MAGAN Raage,-,58,70,,,
2025,World Championships,Junior Men,RIVADENEYRA Nicolas,-,60,61,,,
2025,World Championships,Junior Men,PANZER Martin,-,61,4,,,
2025,World Championships,Junior Men,SEEBACHER Jakob,-,63,45,,,
2025,World Championships,Junior Men,AVERKINAS Adrijus,-,65,37,,,
2025,World Championships,Junior Men,VENNIKER Scott,-,67,55,,,
2025,World Championships,Junior Men,LIN Yu-Chia,-,68,59,,,
