athlete,category,C1,K1,X1
MAGAN Aar,Junior Men,-,74,50
CARRASCO CADILLO Juan Antonio,Junior Men,-,0,58
CHRISTIE WILLIAMS Wyatt,Junior Men,-,0,-
KAEDING Kilian,Junior Men,-,-,5
NEUMANN Kalle,Junior Men,-,-,11
VENETIANER Martin,Junior Men,-,-,27
PETRIK Marek,Junior Men,-,-,29
KRAMER Jernej,Junior Men,-,-,30
RADOVICH Matej,Junior Men,-,-,33
PAJK Maj,Junior Men,-,-,39
BOSSHARD Delfo,Junior Men,-,-,41
BLACKBURN Finnigan,Junior Men,-,-,43
SMITH Asher,Junior Men,-,-,44
LONG Isaac,Junior Men,-,-,57
LEIBFARTH Evy,U23 Women,1,2,4
PANKOVA Zuzana,U23 Women,2,4,25
HOCEVAR Eva Alina,U23 Women,3,1,9
LUKNAROVA Emanuela,U23 Women,4,13,38
DELASSUS Doriane,U23 Women,5,8,1
MILLER Ellis,U23 Women,6,34,-
MORENOVA Adriana,U23 Women,7,-,-
KNEBLOVA Tereza,U23 Women,8,-,7
MICOZZI Elena,U23 Women,9,-,-
LAURENT Zoe,U23 Women,10,-,-
RAPPE Kimberley,U23 Women,11,-,-
KRECH Lucie,U23 Women,12,-,-
BORGHI Elena,U23 Women,13,-,-
SAMKOVA Olga,U23 Women,14,-,13
ANANYEVA Anastassiya,U23 Women,15,44,43
O'CALLAGHAN Georgia,U23 Women,16,24,16
GUTIERREZ Malen,U23 Women,17,-,-
HORLOVA Oleksandra,U23 Women,18,39,20
LOGACHEVA Taisiia,U23 Women,19,41,14
PINTERIC Naja,U23 Women,20,25,11
PANZLAFF Jannemien,U23 Women,21,-,-
CORCORAN Michaela,U23 Women,22,-,-
CROSBEE Sarah,U23 Women,23,31,44
STERRY Sadie,U23 Women,24,-,-
CULLWICK Kahlia,U23 Women,25,27,39
GONZALEZ Clara,U23 Women,26,-,-
HORLOVA Valentyna,U23 Women,27,32,33
PESCE-ROUE Nina,U23 Women,28,45,-
LIU Gaoyi,U23 Women,29,40,-
BELINGAR Sara,U23 Women,30,14,-
NOVYSH Marina,U23 Women,31,16,15
BEDNARCZYK Martyna,U23 Women,32,-,-
TARANTSEVA Yekaterina,U23 Women,33,20,47
LIBER Katarzyna,U23 Women,34,-,-
DURATNA Stanislava,U23 Women,35,-,-
LOPEZ Nora,U23 Women,36,-,-
NIAMTHONG Jaruwan,U23 Women,37,48,51
BUETIKOFER Fia,U23 Women,38,-,23
ALTMAN Marcella,U23 Women,39,26,6
SOMMERNES Iris,U23 Women,40,42,42
CHOMKOGSUNG Kanda,U23 Women,41,-,-
CLEMENTS Claire,U23 Women,42,35,40
PLATA Laura,U23 Women,43,49,24
LEAVER Lois,U23 Women,-,3,2
BRZESKA Dominika,U23 Women,-,5,26
BEKOVA Katerina,U23 Women,-,6,3
PIRRO Paulina,U23 Women,-,7,27
PIGNAT Caterina,U23 Women,-,9,34
CHLEBOVA Ivana,U23 Women,-,10,22
MRAZKOVA Klara,U23 Women,-,11,-
SEGURA Haizea,U23 Women,-,12,5
MATTI Svenja,U23 Women,-,15,12
WU Ting-I,U23 Women,-,17,35
KANG Macy,U23 Women,-,18,19
OLSON Beatrice,U23 Women,-,19,30
DANEK Dominika,U23 Women,-,20,-
VUITTON Emma,U23 Women,-,22,17
SRIBAR Ria,U23 Women,-,23,32
NESNIDALOVA Lucie,U23 Women,-,28,-
GONI Leire,U23 Women,-,29,18
PLOCHMANN Antonia,U23 Women,-,30,10
ZOU Yuhan,U23 Women,-,33,-
MAKACHEVA Angelina,U23 Women,-,36,29
ODRIOZOLA Maite,U23 Women,-,37,-
AGUIRRE GONZALEZ Florencia,U23 Women,-,38,36
SHEAFF Holly,U23 Women,-,43,-
CHOUHAN Shikha,U23 Women,-,46,46
PISTONI Lucia,U23 Women,-,47,8
DUC Jessica,U23 Women,-,50,45
CARVALHO Leonor,U23 Women,-,51,50
MILLS Waris,U23 Women,-,52,41
WOOD Emmi,U23 Women,-,53,52
BERRIO Eoid,U23 Women,-,54,49
DRESCHER Tamara,U23 Women,-,0,-
JOUBERT Perrine,U23 Women,-,-,21
WILD Charlotte,U23 Women,-,-,28
PLANES Jana,U23 Women,-,-,31
SHATTOCK Katherine,U23 Women,-,-,37
ZIZMARE Marta,U23 Women,-,-,48
KRATOCHVIL Lukas,U23 Men,1,-,-
PUCHNER Oliver,U23 Men,2,-,30
SEGURA Alex,U23 Men,3,-,29
KRATOCHVIL Martin,U23 Men,4,-,-
BARZON Martino,U23 Men,5,-,-
KIES Benjamin,U23 Men,6,-,-
DEBLIQUY Elouan,U23 Men,7,-,-
DEBLIQUY Mewen,U23 Men,8,-,-
SENECHAULT Yohann,U23 Men,9,-,-
ROYLE Luc,U23 Men,10,-,-
TRIPANO Manuel,U23 Men,11,15,63
MAIUTTO Elio,U23 Men,12,-,-
NOWOBILSKI Szymon,U23 Men,13,-,-
BALDONI Alex,U23 Men,14,79,15
KRAL Adam,U23 Men,15,-,-
SOWIZRAL Szymon,U23 Men,16,-,-
IMAZ Markel,U23 Men,17,-,-
ROZENTALS Klass Francisks,U23 Men,18,-,53
VICENTE Marc,U23 Men,19,-,-
ROSS Benjamin,U23 Men,20,-,-
GUTKNECHT Patrick,U23 Men,21,-,6
KSIAZEK Krzysztof,U23 Men,22,-,-
ELLIS Declan,U23 Men,23,-,-
GINZEL Konrad,U23 Men,24,-,-
SPAGNOL Marino,U23 Men,25,-,-
KHARLAMTSEV Aleksandr,U23 Men,25,-,-
MCDONALD Edward,U23 Men,27,-,82
SARAMANDIF Terence,U23 Men,28,-,54
STAFFEN David,U23 Men,29,-,-
SAITO Shota,U23 Men,30,-,-
KRAJCI Samuel,U23 Men,31,-,-
JANOVCIK Adam,U23 Men,32,-,-
FEDORENKO Oleksandr,U23 Men,33,34,8
SUESS Philipp,U23 Men,34,-,-
FRANCIS Nathaniel,U23 Men,35,-,58
SENIOR James,U23 Men,36,-,-
PANKHURST George,U23 Men,37,-,-
SMIRNOV Egor,U23 Men,38,18,16
BOHN Luca,U23 Men,39,-,-
POLISHCHUK Bohdan,U23 Men,40,-,-
ANTONOV Sergei,U23 Men,41,-,76
YAZICI Emir Fazil,U23 Men,42,-,-
MCKAY Owen,U23 Men,43,53,-
PARLAK Mustafa,U23 Men,44,-,79
CHANG Fu-Hua,U23 Men,45,-,84
KRIZAJ Adam,U23 Men,46,-,-
ANDERSON Finn,U23 Men,47,-,45
VARSLAVANS Emils,U23 Men,48,-,-
ESCOBAR PUGGIA Nahuel,U23 Men,49,44,52
KOETSUK Piyanath,U23 Men,50,70,62
KONOVCHENKO Nikita,U23 Men,51,-,-
ZIMMERMAN Isaac,U23 Men,52,29,75
PHUTTRAKSA Chonlasit,U23 Men,53,-,80
YOUSRI Jalil Ilias,U23 Men,54,63,-
SMITH Philip,U23 Men,55,-,-
FIANDER Carl,U23 Men,56,-,71
WU Jung-Cheng,U23 Men,57,-,60
PLAUDIS Martins,U23 Men,58,61,47
SOTO Geral,U23 Men,59,69,59
LICEN Matic,U23 Men,60,-,-
LIDSTROEM Yann,U23 Men,0,0,-
CASTRYCK Titouan,U23 Men,-,1,2
FERRAZZI Xabier,U23 Men,-,2,3
CONTRERAS Manel,U23 Men,-,3,27
PISTONI Michele,U23 Men,-,4,23
KREJCI Jakub,U23 Men,-,5,13
CORNU Martin,U23 Men,-,6,14
LEAVER Sam,U23 Men,-,7,5
DIETZ Enrico,U23 Men,-,8,81
RUDORFER Martin,U23 Men,-,9,21
NOVAK Matyas,U23 Men,-,10,9
MONTALTO Sebastian,U23 Men,-,11,-
IVCHENKO Artem,U23 Men,-,12,25
LOCNIKAR Jan,U23 Men,-,13,22
FARRAN Miquel,U23 Men,-,14,28
GRIMANDI Gabriele,U23 Men,-,16,-
PERREAU Noe,U23 Men,-,17,-
FEHLMANN Nicolas,U23 Men,-,19,-
PETRUSHEV Angel,U23 Men,-,20,-
MISHIMA Yu,U23 Men,-,21,46
ROHRER Pitt,U23 Men,-,22,26
KOZLOV Ivan,U23 Men,-,23,11
KUCHNO Tadeusz,U23 Men,-,24,7
STANZEL Christian,U23 Men,-,25,-
KREMSLEHNER Moritz,U23 Men,-,26,34
KONRAD Marten,U23 Men,-,27,-
STAFFEN Matus,U23 Men,-,28,-
HANRAHAN Jonah,U23 Men,-,30,-
CANO MOLE Luca,U23 Men,-,31,51
ZEITLHOFER Simon,U23 Men,-,32,33
